-0.2497361330  0.99979750 0.99998846
-0.2495021735  1.00001862 0.99998846
-0.2494674101  1.00014312 0.99998846
-0.2492093122  1.00012799 0.99998846
-0.2489397851  0.99994432 0.99998846
-0.2486869093  1.00005759 0.99998846
-0.2484147803  1.00026156 0.99998846
-0.2481476089  0.99990933 0.99998846
-0.2478828004  0.99982283 0.99998846
-0.2476488092  1.00019838 0.99998846
-0.2476140775  1.00017419 0.99998846
-0.2473559842  1.00009892 0.99998846
-0.2470864634  0.99995081 0.99998846
-0.2468335676  1.00000664 0.99998846
-0.2465614441  1.00013761 0.99998846
-0.2457607268  1.00010777 0.99998846
-0.2455026643  0.99982171 0.99998846
-0.2452331335  1.00000858 0.99998846
-0.2447081161  0.99999751 0.99998846
-0.2439420524  0.99964746 0.99998846
-0.2439073851  0.99988801 0.99998846
-0.2436493544  0.99976245 0.99998846
-0.2433798209  0.99990865 0.99998846
-0.2431268680  1.00014341 0.99998846
-0.2428547980  0.99996511 0.99998846
-0.2423228035  1.00004089 0.99998846
-0.2420886790  0.99996885 0.99998846
-0.2420540435  1.00016782 0.99998846
-0.2415265001  1.00030793 0.99998846
-0.2412735182  1.00023188 0.99998846
-0.2404694800  1.00004784 0.99998846
-0.2402353056  1.00016551 0.99998846
-0.2402007009  0.99998148 0.99998846
-0.2399427074  1.00002283 0.99998846
-0.2396731693  0.99983508 0.99998846
-0.2394201593  1.00037619 0.99998846
-0.2391481337  0.99988510 0.99998846
-0.2388810158  1.00042034 0.99998846
-0.2386161383  0.99988095 0.99998846
-0.2383819322  1.00005831 0.99998846
-0.2383473593  0.99993184 0.99998846
-0.2380893974  0.99980759 0.99998846
-0.2378198576  1.00028387 0.99998846
-0.2375668094  1.00016588 0.99998846
-0.2372948066  1.00035836 0.99998846
-0.2370276995  1.00017255 0.99998846
-0.2367628067  1.00002034 0.99998846
-0.2365285588  0.99988874 0.99998846
-0.2364940176  1.00024308 0.99998846
-0.2362360694  1.00023214 0.99998846
-0.2359665268  0.99983302 0.99998846
-0.2357134687  0.99998563 0.99998846
-0.2354414785  1.00053362 0.99998846
-0.2351743914  1.00004946 0.99998846
-0.2349094832  1.00004902 0.99998846
-0.2346751854  0.99995834 0.99998846
-0.2346406759  0.99991083 0.99998846
-0.2343827504  0.99954886 0.99998846
-0.2341132060  0.99981850 0.99998846
-0.2338601098  0.99978109 0.99998846
-0.2335881505  0.99998769 0.99998846
-0.2333210743  0.99985022 0.99998846
-0.2330561424  0.99993612 0.99998846
-0.2328218120  1.00015589 0.99998846
-0.2327873334  1.00019535 0.99998846
-0.2325294405  0.99999626 0.99998846
-0.2322598843  1.00033072 0.99998846
-0.2320067600  0.99976710 0.99998846
-0.2317348233  0.99992184 0.99998846
-0.2314677580  0.99965356 0.99998846
-0.2312028098  1.00011308 0.99998846
-0.2309684386  1.00019880 0.99998846
-0.2309339827  1.00000927 0.99998846
-0.2306761124  0.99997753 0.99998846
-0.2304065635  1.00042541 0.99998846
-0.2301534192  0.99999364 0.99998846
-0.2298814953  1.00003026 0.99998846
-0.2296144408  0.99968525 0.99998846
-0.2293494772  0.99997306 0.99998846
-0.2291150570  0.99972974 0.99998846
-0.2290806410  0.99997711 0.99998846
-0.2288227926  0.99985109 0.99998846
-0.2285532418  0.99990288 0.99998846
-0.2283000603  0.99972444 0.99998846
-0.2280281681  0.99971639 0.99998846
-0.2277611146  0.99970588 0.99998846
-0.2274961455  1.00022089 0.99998846
-0.2272616926  0.99982830 0.99998846
-0.2272273075  0.99995139 0.99998846
-0.2269694736  1.00011774 0.99998846
-0.2266999210  1.00001009 0.99998846
-0.2264467105  0.99965546 0.99998846
-0.2261748401  0.99983471 0.99998846
-0.2259078074  0.99974375 0.99998846
-0.2256428130  1.00001552 0.99998846
-0.2254083192  0.99987691 0.99998846
-0.2253739568  0.99996330 0.99998846
-0.2251161546  1.00010363 0.99998846
-0.2248466002  0.99989705 0.99998846
-0.2245933698  1.00013366 0.99998846
-0.2240544902  1.00005246 0.99998846
-0.2237894813  1.00003547 0.99998846
-0.2235549377  0.99986811 0.99998846
-0.2235206142  1.00006754 0.99998846
-0.2232628356  0.99992411 0.99998846
-0.2229932785  1.00047328 0.99998846
-0.2224681849  1.00015892 0.99998846
-0.2222011640  1.00003231 0.99998846
-0.2217015733  1.00003194 0.99998846
-0.2216672816  0.99990148 0.99998846
-0.2214095166  1.00005219 0.99998846
-0.2211399577  1.00009879 0.99998846
-0.2208866620  0.99988238 0.99998846
-0.2206148478  1.00036260 0.99998846
-0.2203478568  1.00024257 0.99998846
-0.2198139300  1.00014031 0.99998846
-0.2192866369  0.99997743 0.99998846
-0.2190333212  1.00009535 0.99998846
-0.2184945306  1.00002970 0.99998846
-0.2182294853  1.00018450 0.99998846
-0.2177028778  0.99983361 0.99998846
-0.2174333152  1.00004376 0.99998846
-0.2171799632  1.00003663 0.99998846
-0.2169081917  1.00008717 0.99998846
-0.2166412143  1.00047510 0.99998846
-0.2163761527  0.99995485 0.99998846
-0.2161072548  1.00009550 0.99998846
-0.2158495588  1.00003074 0.99998846
-0.2155799944  0.99976967 0.99998846
-0.2153266134  0.99978182 0.99998846
-0.2150548645  0.99984955 0.99998846
-0.2147879062  0.99986474 0.99998846
-0.2145228211  0.99984712 0.99998846
-0.2142880824  0.99996202 0.99998846
-0.2142539032  0.99992492 0.99998846
-0.2139962398  1.00001368 0.99998846
-0.2137266736  1.00035340 0.99998846
-0.2134732736  1.00001310 0.99998846
-0.2132015455  0.99982027 0.99998846
-0.2129345800  0.99997130 0.99998846
-0.2124347090  1.00010808 0.99998846
-0.2124005615  1.00033220 0.99998846
-0.2121429199  1.00009378 0.99998846
-0.2118733528  0.99992816 0.99998846
-0.2116199147  1.00003496 0.99998846
-0.2113482084  1.00013515 0.99998846
-0.2110812637  1.00023665 0.99998846
-0.2105813365  1.00008829 0.99998846
-0.2105472099  1.00009003 0.99998846
-0.2102895919  1.00003613 0.99998846
-0.2100200311  1.00027409 0.99998846
-0.2097665657  1.00001732 0.99998846
-0.2094948804  0.99995241 0.99998846
-0.2092279556  0.99982242 0.99998846
-0.2089628251  1.00005902 0.99998846
-0.2087279640  1.00059253 0.99998846
-0.2086938764  1.00008566 0.99998846
-0.2084362820  1.00005780 0.99998846
-0.2081667104  0.99989577 0.99998846
-0.2079132159  0.99984465 0.99998846
-0.2076415614  1.00003355 0.99998846
-0.2073746294  1.00021468 0.99998846
-0.2071094844  1.00016029 0.99998846
-0.2068745915  1.00061413 0.99998846
-0.2068405338  1.00012058 0.99998846
-0.2065829539  0.99976337 0.99998846
-0.2063133896  0.99993965 0.99998846
-0.2060598670  0.99993035 0.99998846
-0.2057882243  1.00022368 0.99998846
-0.2055213131  1.00014905 0.99998846
-0.2052561618  0.99987955 0.99998846
-0.2050212190  1.00012247 0.99998846
-0.2049871822  1.00006538 0.99998846
-0.2047296340  1.00007241 0.99998846
-0.2044600778  0.99978227 0.99998846
-0.2042065181  1.00000463 0.99998846
-0.2039348962  1.00013569 0.99998846
-0.2036679960  1.00037734 0.99998846
-0.2034028301  0.99976352 0.99998846
-0.2031678465  1.00042420 0.99998846
-0.2031338496  1.00007368 0.99998846
-0.2028763241  0.99985610 0.99998846
-0.2026067471  0.99999822 0.99998846
-0.2023531692  1.00004210 0.99998846
-0.2020815591  0.99998475 0.99998846
-0.2018146797  0.99979752 0.99998846
-0.2015494884  1.00026992 0.99998846
-0.2012805161  0.99990659 0.99998846
-0.2010229961  0.99991760 0.99998846
-0.2007534263  1.00042038 0.99998846
-0.2002282401  1.00000162 0.99998846
-0.1999613625  0.99998639 0.99998846
-0.1994611015  1.00012573 0.99998846
-0.1991696762  0.99994731 0.99998846
-0.1989001055  1.00002045 0.99998846
-0.1986464704  1.00007372 0.99998846
-0.1983749121  0.99987473 0.99998846
-0.1976077290  0.99991208 0.99998846
-0.1970467847  1.00009563 0.99998846
-0.1967931215  0.99984300 0.99998846
-0.1962547291  1.00024565 0.99998846
-0.1959894934  0.99962425 0.99998846
-0.1957543475  1.00021630 0.99998846
-0.1954630373  1.00008374 0.99998846
-0.1951934639  1.00004167 0.99998846
-0.1949397635  0.99997690 0.99998846
-0.1946682559  0.99944891 0.99998846
-0.1944014119  1.00011819 0.99998846
-0.1941361708  1.00003707 0.99998846
-0.1939009849  0.99983741 0.99998846
-0.1936097183  0.99998888 0.99998846
-0.1933401340  0.99983354 0.99998846
-0.1930864237  0.99994836 0.99998846
-0.1928149279  0.99961547 0.99998846
-0.1925480866  0.99990162 0.99998846
-0.1922828391  0.99994139 0.99998846
-0.1920476124  1.00018370 0.99998846
-0.1917564084  1.00000811 0.99998846
-0.1914868223  1.00045282 0.99998846
-0.1912330748  1.00015289 0.99998846
-0.1909615908  0.99996707 0.99998846
-0.1906947785  0.99996451 0.99998846
-0.1904294983  1.00004584 0.99998846
-0.1901942318  0.99983805 0.99998846
-0.1899030794  1.00013501 0.99998846
-0.1896335015  0.99985988 0.99998846
-0.1893797168  1.00027892 0.99998846
-0.1891082718  0.99977884 0.99998846
-0.1888414614  0.99989571 0.99998846
-0.1885761757  1.00019686 0.99998846
-0.1883408684  0.99977784 0.99998846
-0.1880497605  0.99988719 0.99998846
