-0.2497927413  0.99975944 0.99998580
-0.2496027466  1.00002008 0.99998580
-0.2494396254  0.99978939 0.99998580
-0.2492962509  1.00028546 0.99998580
-0.2491651182  1.00016539 0.99998580
-0.2490386512  1.00007300 0.99998580
-0.2489093776  1.00016802 0.99998580
-0.2487701673  1.00030632 0.99998580
-0.2486143034  0.99974854 0.99998580
-0.2476457390  1.00019880 0.99998580
-0.2472740161  0.99997464 0.99998580
-0.2471249308  0.99971664 0.99998580
-0.2469905359  0.99977671 0.99998580
-0.2468633558  0.99973241 0.99998580
-0.2467358306  1.00003074 0.99998580
-0.2466006738  1.00002138 0.99998580
-0.2452911247  1.00002480 0.99998580
-0.2451108975  1.00000135 0.99998580
-0.2448167577  1.00021307 0.99998580
-0.2446880637  1.00017652 0.99998580
-0.2445614468  1.00032612 0.99998580
-0.2444296109  0.99995399 0.99998580
-0.2442855429  1.00001645 0.99998580
-0.2431404011  1.00008033 0.99998580
-0.2429504714  0.99965200 0.99998580
-0.2427874057  1.00013086 0.99998580
-0.2425129831  1.00001983 0.99998580
-0.2423864868  0.99987758 0.99998580
-0.2422571676  0.99997170 0.99998580
-0.2421179280  1.00011328 0.99998580
-0.2419620511  1.00009889 0.99998580
-0.2409933434  0.99972974 0.99998580
-0.2406217768  1.00009486 0.99998580
-0.2404727046  1.00000106 0.99998580
-0.2403383649  0.99993585 0.99998580
-0.2402111946  0.99998389 0.99998580
-0.2400836597  1.00001368 0.99998580
-0.2399484768  0.99986526 0.99998580
-0.2386387780  0.99999570 0.99998580
-0.2384586452  0.99975729 0.99998580
-0.2381645802  0.99992448 0.99998580
-0.2380358667  0.99980388 0.99998580
-0.2379092466  1.00000817 0.99998580
-0.2377774237  1.00000903 0.99998580
-0.2376333231  1.00017690 0.99998580
-0.2364880608  0.99991199 0.99998580
-0.2362981670  1.00006852 0.99998580
-0.2361351533  1.00013062 0.99998580
-0.2359918797  0.99976093 0.99998580
-0.2358607862  1.00029494 0.99998580
-0.2357343224  0.99987330 0.99998580
-0.2356049902  1.00000016 0.99998580
-0.2354657213  1.00000075 0.99998580
-0.2343410097  0.99982830 0.99998580
-0.2341407331  0.99999025 0.99998580
-0.2338205076  0.99994751 0.99998580
-0.2336861940  0.99982934 0.99998580
-0.2335590628  0.99975979 0.99998580
-0.2334314855  1.00009378 0.99998580
-0.2332962798  0.99976664 0.99998580
-0.2319864931  1.00022094 0.99998580
-0.2318063896  0.99992284 0.99998580
-0.2315124354  0.99993995 0.99998580
-0.2313837023  1.00003710 0.99998580
-0.2312571115  0.99991741 0.99998580
-0.2311252398  0.99993648 0.99998580
-0.2298357206  1.00018029 0.99998580
-0.2296459277  0.99981046 0.99998580
-0.2294829629  0.99990740 0.99998580
-0.2293396958  1.00000343 0.99998580
-0.2292086185  0.99980062 0.99998580
-0.2290821580  1.00006324 0.99998580
-0.2289528421  0.99999654 0.99998580
-0.2288135438  0.99999852 0.99998580
-0.2276886434  0.99987691 0.99998580
-0.2274884384  0.99989133 0.99998580
-0.2273173047  0.99987022 0.99998580
-0.2271683139  1.00030958 0.99998580
-0.2270340231  1.00013597 0.99998580
-0.2269068658  1.00000411 0.99998580
-0.2267792820  1.00003613 0.99998580
-0.2253341789  0.99977421 0.99998580
-0.2251541373  1.00002821 0.99998580
-0.2249985697  0.99953335 0.99998580
-0.2248602254  0.99998338 0.99998580
-0.2247315737  0.99996085 0.99998580
-0.2246049438  0.99980436 0.99998580
-0.2243288804  1.00020760 0.99998580
-0.2231833804  1.00007635 0.99998580
-0.2229936526  1.00003806 0.99998580
-0.2228307431  1.00036416 0.99998580
-0.2226874760  1.00011175 0.99998580
-0.2225564866  1.00032118 0.99998580
-0.2224299935  0.99984237 0.99998580
-0.2221613045  0.99985262 0.99998580
-0.2220053299  0.99991790 0.99998580
-0.2210362479  0.99986811 0.99998580
-0.2208361471  0.99992311 0.99998580
-0.2206650687  1.00015354 0.99998580
-0.2205161169  0.99968929 0.99998580
-0.2203818522  0.99986630 0.99998580
-0.2201271437  1.00005780 0.99998580
-0.2199918533  1.00007033 0.99998580
-0.2186818289  0.99996502 0.99998580
-0.2185018817  1.00044639 0.99998580
-0.2183463629  0.99999389 0.99998580
-0.2182080512  1.00017353 0.99998580
-0.2180793767  1.00021449 0.99998580
-0.2178208654  0.99971334 0.99998580
-0.2176766573  1.00013434 0.99998580
-0.2165310434  1.00002592 0.99998580
-0.2163413808  0.99984325 0.99998580
-0.2161784908  1.00015810 0.99998580
-0.2160353246  1.00010507 0.99998580
-0.2159042864  1.00005905 0.99998580
-0.2157778324  1.00004427 0.99998580
-0.2156484546  1.00005777 0.99998580
-0.2155090978  0.99996028 0.99998580
-0.2153530776  1.00011747 0.99998580
-0.2143839141  1.00003194 0.99998580
-0.2141838524  0.99993864 0.99998580
-0.2140128652  0.99987998 0.99998580
-0.2137296812  1.00009957 0.99998580
-0.2136025728  1.00005066 0.99998580
-0.2134749402  0.99976337 0.99998580
-0.2133396889  0.99970542 0.99998580
-0.2120295473  0.99986367 0.99998580
-0.2118496294  1.00017981 0.99998580
-0.2116941236  1.00016939 0.99998580
-0.2115558737  1.00020140 0.99998580
-0.2114272123  1.00004577 0.99998580
