-0.2485143962  1.00017830 0.99998844
-0.2484232971  0.99997081 0.99998844
-0.2483506598  0.99953699 0.99998844
-0.2463011447  0.99983302 0.99998844
-0.2462704035  0.99992477 0.99998844
-0.2462246022  0.99949486 0.99998844
-0.2442259851  1.00000785 0.99998844
-0.2441863036  1.00015626 0.99998844
-0.2441533212  1.00015183 0.99998844
-0.2421038348  0.99981850 0.99998844
-0.2420730998  0.99965993 0.99998844
-0.2420272409  1.00014369 0.99998844
-0.2400286527  0.99994498 0.99998844
-0.2399890225  1.00028716 0.99998844
-0.2399560257  0.99999324 0.99998844
-0.2379065229  1.00033072 0.99998844
-0.2378757776  0.99985138 0.99998844
-0.2359221708  0.99971979 0.99998844
-0.2358313017  0.99966901 0.99998844
-0.2357917003  1.00000812 0.99998844
-0.2357587076  1.00034027 0.99998844
-0.2337092130  1.00042541 0.99998844
-0.2336325596  0.99999342 0.99998844
-0.2317247418  0.99994929 0.99998844
-0.2316339898  0.99960287 0.99998844
-0.2315943986  1.00033852 0.99998844
-0.2315613710  1.00007682 0.99998844
-0.2295715814  1.00006698 0.99998844
-0.2295119011  0.99990288 0.99998844
-0.2294811908  0.99999391 0.99998844
-0.2294352168  1.00016032 0.99998844
-0.2275273333  1.00001082 0.99998844
-0.2273971175  0.99990463 0.99998844
-0.2273640735  0.99989606 0.99998844
-0.2253741956  0.99987302 0.99998844
-0.2253145912  1.00001009 0.99998844
-0.2252838665  0.99976341 0.99998844
-0.2252378967  0.99990836 0.99998844
-0.2233299248  1.00012649 0.99998844
-0.2232393043  0.99987658 0.99998844
-0.2231997974  0.99990954 0.99998844
-0.2231667575  0.99996836 0.99998844
-0.2211768508  1.00023461 0.99998844
-0.2211172813  0.99989705 0.99998844
-0.2210865628  1.00029173 0.99998844
-0.2210405355  0.99999674 0.99998844
-0.2191325163  1.00019696 0.99998844
-0.2190419739  1.00007698 0.99998844
-0.2190024957  1.00001153 0.99998844
-0.2169794669  1.00009701 0.99998844
-0.2169199694  1.00047328 0.99998844
-0.2168892386  1.00006710 0.99998844
-0.2168432133  1.00005091 0.99998844
-0.2149351079  1.00025541 0.99998844
-0.2148446414  0.99999593 0.99998844
-0.2148051941  1.00025027 0.99998844
-0.2147721234  1.00002093 0.99998844
-0.2127821016  1.00036074 0.99998844
-0.2127226595  1.00009879 0.99998844
-0.2126919554  1.00002142 0.99998844
-0.2126458520  1.00015832 0.99998844
-0.2107376994  1.00026431 0.99998844
-0.2106473090  0.99991322 0.99998844
-0.2106078924  0.99987289 0.99998844
-0.2105747847  0.99980171 0.99998844
-0.2085847589  1.00006727 0.99998844
-0.2085253497  0.99997743 0.99998844
-0.2084946517  0.99997212 0.99998844
-0.2084485114  1.00004541 0.99998844
-0.2065402930  0.99999372 0.99998844
-0.2064499786  1.00022767 0.99998844
-0.2064105908  0.99982918 0.99998844
-0.2063774666  1.00049179 0.99998844
-0.2043873730  1.00032288 0.99998844
-0.2043280378  1.00004376 0.99998844
-0.2042973274  1.00006350 0.99998844
-0.2042511686  0.99998230 0.99998844
-0.2023428845  1.00004098 0.99998844
-0.2022526461  1.00029411 0.99998844
-0.2022132706  0.99993196 0.99998844
-0.2021801712  0.99994167 0.99998844
-0.2001307279  0.99976967 0.99998844
-0.2001000443  0.99983110 0.99998844
-0.2000538279  1.00029310 0.99998844
-0.1981454986  0.99985415 0.99998844
-0.1980553157  1.00011928 0.99998844
-0.1980159895  1.00015208 0.99998844
-0.1979828325  0.99996469 0.99998844
-0.1959926444  0.99963895 0.99998844
-0.1959334180  1.00035340 0.99998844
-0.1959027406  0.99999948 0.99998844
-0.1958564852  1.00023209 0.99998844
-0.1939480696  1.00011505 0.99998844
-0.1938579832  1.00005087 0.99998844
-0.1938186879  1.00017652 0.99998844
-0.1937855144  0.99999680 0.99998844
-0.1917361082  0.99992816 0.99998844
-0.1917054163  0.99993271 0.99998844
-0.1916591445  1.00015461 0.99998844
-0.1897506632  1.00004758 0.99998844
-0.1896606528  0.99996816 0.99998844
-0.1896213657  0.99980388 0.99998844
-0.1895882169  1.00001913 0.99998844
-0.1875979178  0.99995630 0.99998844
-0.1875387962  1.00027409 0.99998844
-0.1875081332  0.99985324 0.99998844
-0.1874618018  0.99994760 0.99998844
-0.1855532752  0.99979814 0.99998844
-0.1854633203  1.00014076 0.99998844
-0.1854240640  1.00003710 0.99998844
-0.1853908803  0.99998052 0.99998844
-0.1834005730  1.00023976 0.99998844
-0.1833414864  0.99989577 0.99998844
-0.1832644590  1.00000427 0.99998844
-0.1813558483  0.99999662 0.99998844
-0.1812659899  0.99993653 0.99998844
-0.1812267850  0.99996085 0.99998844
-0.1811935622  1.00014054 0.99998844
-0.1792031892  0.99977689 0.99998844
-0.1791441765  0.99993965 0.99998844
-0.1791135052  1.00018082 0.99998844
-0.1790671184  0.99985261 0.99998844
-0.1771584398  0.99996553 0.99998844
-0.1770294628  1.00021449 0.99998844
-0.1769962442  1.00033328 0.99998844
-0.1750058259  0.99983952 0.99998844
-0.1749468872  0.99978227 0.99998844
-0.1749162220  1.00001642 0.99998844
-0.1748697756  1.00055855 0.99998844
-0.1729610539  0.99978702 0.99998844
-0.1728713271  1.00015798 0.99998844
-0.1728321611  1.00004577 0.99998844
-0.1727989261  0.99975549 0.99998844
-0.1708084626  0.99988147 0.99998844
-0.1707495547  0.99999822 0.99998844
-0.1707188978  1.00011684 0.99998844
-0.1706724329  0.99983720 0.99998844
-0.1687636270  1.00031593 0.99998844
-0.1686739966  1.00005055 0.99998844
-0.1686348800  1.00030285 0.99998844
