-0.2496027466  1.00002008 0.99998503
-0.2492962509  1.00028546 0.99998503
-0.2490386512  1.00007300 0.99998503
-0.2487701673  1.00030632 0.99998503
-0.2476457390  1.00019880 0.99998503
-0.2472740161  0.99997464 0.99998503
-0.2469905359  0.99977671 0.99998503
-0.2467358306  1.00003074 0.99998503
-0.2452911247  1.00002480 0.99998503
-0.2446880637  1.00017652 0.99998503
-0.2444296109  0.99995399 0.99998503
-0.2429504714  0.99965200 0.99998503
-0.2423864868  0.99987758 0.99998503
-0.2421179280  1.00011328 0.99998503
-0.2409933434  0.99972974 0.99998503
-0.2406217768  1.00009486 0.99998503
-0.2403383649  0.99993585 0.99998503
-0.2400836597  1.00001368 0.99998503
-0.2386387780  0.99999570 0.99998503
-0.2380358667  0.99980388 0.99998503
-0.2377774237  1.00000903 0.99998503
-0.2362981670  1.00006852 0.99998503
-0.2359918797  0.99976093 0.99998503
-0.2357343224  0.99987330 0.99998503
-0.2354657213  1.00000075 0.99998503
-0.2343410097  0.99982830 0.99998503
-0.2336861940  0.99982934 0.99998503
-0.2334314855  1.00009378 0.99998503
-0.2319864931  1.00022094 0.99998503
-0.2313837023  1.00003710 0.99998503
-0.2311252398  0.99993648 0.99998503
-0.2296459277  0.99981046 0.99998503
-0.2293396958  1.00000343 0.99998503
-0.2290821580  1.00006324 0.99998503
-0.2288135438  0.99999852 0.99998503
-0.2276886434  0.99987691 0.99998503
-0.2273173047  0.99987022 0.99998503
-0.2270340231  1.00013597 0.99998503
-0.2267792820  1.00003613 0.99998503
-0.2253341789  0.99977421 0.99998503
-0.2249985697  0.99953335 0.99998503
-0.2247315737  0.99996085 0.99998503
-0.2229936526  1.00003806 0.99998503
-0.2226874760  1.00011175 0.99998503
-0.2224299935  0.99984237 0.99998503
-0.2221613045  0.99985262 0.99998503
-0.2210362479  0.99986811 0.99998503
-0.2206650687  1.00015354 0.99998503
-0.2203818522  0.99986630 0.99998503
-0.2201271437  1.00005780 0.99998503
-0.2186818289  0.99996502 0.99998503
-0.2183463629  0.99999389 0.99998503
-0.2180793767  1.00021449 0.99998503
-0.2178208654  0.99971334 0.99998503
-0.2163413808  0.99984325 0.99998503
-0.2160353246  1.00010507 0.99998503
-0.2157778324  1.00004427 0.99998503
-0.2155090978  0.99996028 0.99998503
-0.2143839141  1.00003194 0.99998503
-0.2140128652  0.99987998 0.99998503
-0.2137296812  1.00009957 0.99998503
-0.2134749402  0.99976337 0.99998503
-0.2120295473  0.99986367 0.99998503
-0.2116941236  1.00016939 0.99998503
-0.2114272123  1.00004577 0.99998503
-0.2111686782  1.00015053 0.99998503
-0.2096891089  1.00007929 0.99998503
-0.2093831407  1.00015829 0.99998503
-0.2091256680  1.00004475 0.99998503
-0.2088568552  1.00000164 0.99998503
-0.2073605966  1.00014453 0.99998503
-0.2070775429  0.99999657 0.99998503
-0.2068227660  1.00007241 0.99998503
-0.2053772331  1.00023621 0.99998503
-0.2050419494  1.00009941 0.99998503
-0.2047750804  1.00030285 0.99998503
-0.2045164584  0.99994901 0.99998503
-0.2030368370  0.99967423 0.99998503
-0.2027309209  1.00000267 0.99998503
-0.2024735036  0.99983346 0.99998503
-0.2022046810  0.99985622 0.99998503
-0.2007083605  1.00017986 0.99998503
-0.2004253426  0.99973349 0.99998503
-0.2001706276  0.99985610 0.99998503
-0.1987249157  1.00011409 0.99998503
-0.1983897427  1.00016219 0.99998503
-0.1981228867  0.99983724 0.99998503
-0.1978642712  0.99987092 0.99998503
-0.1963845652  0.99994687 0.99998503
-0.1960787370  0.99999777 0.99998503
-0.1958213391  1.00000282 0.99998503
-0.1955524710  1.00013781 0.99998503
-0.1940561571  0.99990051 0.99998503
-0.1937731717  1.00030093 0.99998503
-0.1935184241  0.99991760 0.99998503
-0.1920726015  0.99998890 0.99998503
-0.1917375034  0.99997593 0.99998503
-0.1914707223  0.99988893 0.99998503
-0.1912121198  1.00000361 0.99998503
-0.1897322933  0.99993151 0.99998503
-0.1894265856  0.99999437 0.99998503
-0.1891691422  0.99993163 0.99998503
-0.1889002317  1.00008920 0.99998503
-0.1877744588  0.99996202 0.99998503
-0.1874038917  1.00010040 0.99998503
-0.1871210333  0.99993573 0.99998503
-0.1868662500  0.99994731 0.99998503
-0.1854202873  0.99979786 0.99998503
-0.1850853325  1.00028134 0.99998503
-0.1848185904  0.99999441 0.99998503
-0.1830800215  1.00011485 0.99998503
-0.1827743691  0.99965864 0.99998503
-0.1825170103  0.99984755 0.99998503
-0.1822480543  1.00020083 0.99998503
-0.1811220925  1.00010808 0.99998503
-0.1807516557  0.99990397 0.99998503
-0.1804688299  0.99966413 0.99998503
-0.1787679731  0.99995388 0.99998503
-0.1784331257  1.00026412 0.99998503
-0.1781663935  0.99983064 0.99998503
-0.1779077128  0.99967674 0.99998503
-0.1764277496  1.00006433 0.99998503
-0.1761221819  1.00004728 0.99998503
-0.1755958476  1.00002551 0.99998503
-0.1744697295  1.00008829 0.99998503
-0.1740994522  1.00047427 0.99998503
-0.1738166589  0.99974385 0.99998503
-0.1735619048  1.00008374 0.99998503
-0.1721156590  1.00022683 0.99998503
-0.1717808864  1.00000411 0.99998503
-0.1712555582  1.00014539 0.99998503
-0.1697754778  0.99993545 0.99998503
-0.1694700305  0.99984617 0.99998503
-0.1692126489  0.99976217 0.99998503
-0.1689436050  0.99992024 0.99998503
-0.1678173665  1.00059253 0.99998503
-0.1674471836  1.00017943 0.99998503
-0.1669097339  0.99998888 0.99998503
-0.1654633448  0.99980003 0.99998503
-0.1651286797  1.00051399 0.99998503
-0.1648621004  1.00015852 0.99998503
-0.1646033384  1.00022278 0.99998503
-0.1631232092  1.00000276 0.99998503
-0.1625605171  1.00002146 0.99998503
-0.1622914308  0.99994470 0.99998503
-0.1611650035  1.00061413 0.99998503
-0.1607949508  1.00000341 0.99998503
-0.1605123203  1.00021198 0.99998503
-0.1602575955  1.00000811 0.99998503
-0.1588110306  1.00008365 0.99998503
-0.1582099035  1.00020158 0.99998503
-0.1579511512  1.00013521 0.99998503
-0.1561656300  0.99981946 0.99998503
-0.1559083201  1.00006328 0.99998503
-0.1556391883  1.00014875 0.99998503
-0.1545126404  1.00012247 0.99998503
-0.1541427148  0.99969260 0.99998503
-0.1538601494  1.00029728 0.99998503
-0.1536053888  1.00013501 0.99998503
-0.1521587164  0.99994600 0.99998503
-0.1518242662  0.99989927 0.99998503
-0.1515577390  1.00020103 0.99998503
-0.1512989966  1.00006011 0.99998503
-0.1495134135  0.99961836 0.99998503
-0.1492561557  0.99995709 0.99998503
-0.1489869783  0.99976265 0.99998503
-0.1478602774  1.00042420 0.99998503
-0.1474904787  0.99971904 0.99998503
-0.1472079785  0.99998537 0.99998503
-0.1469532179  0.99988719 0.99998503
-0.1455064022  1.00013935 0.99998503
-0.1451720627  1.00007229 0.99998503
-0.1449055453  1.00010803 0.99998503
-0.1446467768  1.00002082 0.99998503
-0.1431663936  1.00008401 0.99998503
-0.1428612621  1.00003914 0.99998503
-0.1426040238  0.99984488 0.99998503
-0.1423348041  0.99986823 0.99998503
-0.1408382459  1.00002984 0.99998503
-0.1405558075  1.00021680 0.99998503
-0.1403010111  0.99995640 0.99998503
-0.1388540555  0.99998253 0.99998503
-0.1385198885  1.00002586 0.99998503
-0.1382534135  0.99995790 0.99998503
-0.1379945896  0.99988722 0.99998503
-0.1365140924  1.00021665 0.99998503
-0.1362090781  1.00009618 0.99998503
-0.1359518268  1.00030913 0.99998503
-0.1356825615  0.99964427 0.99998503
-0.1345555514  1.00012573 0.99998503
-0.1341860099  0.99955070 0.99998503
-0.1339036366  0.99985646 0.99998503
-0.1336488728  1.00013545 0.99998503
-0.1322017739  0.99997920 0.99998503
-0.1318676492  0.99965900 0.99998503
-0.1316012491  0.99981648 0.99998503
-0.1313423698  0.99972027 0.99998503
-0.1298618531  0.99999265 0.99998503
-0.1295568909  0.99983889 0.99998503
-0.1292996624  1.00014674 0.99998503
-0.1290303515  1.00011221 0.99998503
-0.1279031884  0.99991208 0.99998503
-0.1275337738  0.99997281 0.99998503
-0.1272514690  1.00032357 0.99998503
-0.1269966986  1.00010096 0.99998503
-0.1255494629  1.00005644 0.99998503
-0.1252154425  0.99996519 0.99998503
-0.1249490846  0.99984288 0.99998503
-0.1246902152  0.99970889 0.99998503
-0.1232095487  1.00005268 0.99998503
-0.1229047070  0.99994727 0.99998503
-0.1226475306  1.00007068 0.99998503
-0.1223781415  0.99979389 0.99998503
-0.1212507928  1.00021630 0.99998503
-0.1208815411  1.00048315 0.99998503
-0.1205992980  1.00000302 0.99998503
-0.1203444951  0.99961418 0.99998503
-0.1188971162  0.99997482 0.99998503
-0.1185632716  0.99975184 0.99998503
-0.1182969235  1.00015221 0.99998503
-0.1180380247  1.00013109 0.99998503
-0.1165572801  1.00008977 0.99998503
-0.1162525556  1.00005303 0.99998503
-0.1159953336  1.00002558 0.99998503
-0.1157259348  1.00026861 0.99998503
-0.1145984656  0.99983741 0.99998503
-0.1142293050  0.99987855 0.99998503
-0.1139471271  1.00031057 0.99998503
-0.1136923567  1.00006326 0.99998503
-0.1122448346  1.00003758 0.99998503
-0.1119110323  0.99999641 0.99998503
-0.1116447591  0.99998940 0.99998503
-0.1113858050  1.00018799 0.99998503
-0.1099050408  0.99998379 0.99998503
-0.1096003391  1.00006014 0.99998503
-0.1093431692  1.00015018 0.99998503
-0.1079461026  1.00018370 0.99998503
-0.1075770397  1.00000566 0.99998503
-0.1072949269  0.99990211 0.99998503
-0.1070401826  0.99998857 0.99998503
-0.1067540879  0.99995356 0.99998503
-0.1055925236  0.99998600 0.99998503
-0.1049925947  1.00013637 0.99998503
-0.1047336503  1.00002538 0.99998503
-0.1032527397  0.99979383 0.99998503
-0.1029481551  1.00009080 0.99998503
-0.1026909722  1.00006222 0.99998503
-0.1024215148  1.00002562 0.99998503
-0.1012937102  0.99983805 0.99998503
-0.1009248362  1.00009848 0.99998503
-0.1006427559  1.00038691 0.99998503
-0.1001018518  0.99996429 0.99998503
-0.0989401769  1.00020085 0.99998503
-0.0986066546  1.00006314 0.99998503
-0.0983404335  1.00026106 0.99998503
-0.0980814631  0.99982824 0.99998503
-0.0966004678  1.00021840 0.99998503
-0.0962960038  0.99994985 0.99998503
-0.0957693048  1.00005471 0.99998503
-0.0946413798  0.99977784 0.99998503
-0.0942726034  0.99978722 0.99998503
-0.0939906176  0.99988501 0.99998503
-0.0934495800  0.99979730 0.99998503
-0.0922878985  1.00001061 0.99998503
-0.0919544153  1.00000995 0.99998503
-0.0916882691  0.99978858 0.99998503
-0.0914292434  1.00014721 0.99998503
-0.0899482318  1.00025431 0.99998503
-0.0896437872  1.00010315 0.99998503
-0.0893866759  0.99996267 0.99998503
-0.0891170948  1.00014504 0.99998503
-0.0879890168  0.99978610 0.99998503
-0.0876203380  0.99992786 0.99998503
-0.0873384141  1.00022072 0.99998503
-0.0870836665  1.00001101 0.99998503
-0.0867973765  0.99988702 0.99998503
-0.0856355843  0.99987667 0.99998503
-0.0853022118  0.99979737 0.99998503
-0.0850361047  0.99989590 0.99998503
-0.0847770887  0.99988713 0.99998503
-0.0832959306  0.99993961 0.99998503
-0.0829916033  1.00002208 0.99998503
