-0.2499754928  0.99997493 1.00001259
-0.2496391460  1.00012455 1.00001259
-0.2492069807  1.00009284 1.00001259
-0.2488706199  1.00042471 1.00001259
-0.2484384761  1.00000773 1.00001259
-0.2481021014  1.00010345 1.00001259
-0.2476699678  0.99999472 1.00001259
-0.2473335792  1.00039539 1.00001259
-0.2469014553  0.99977387 1.00001259
-0.2465650531  0.99998502 1.00001259
-0.2461329507  0.99988090 1.00001259
-0.2457965309  1.00010897 1.00001259
-0.2450280124  1.00004515 1.00001259
-0.2445959302  1.00025676 1.00001259
-0.2442594863  1.00008354 1.00001259
-0.2438274215  1.00023533 1.00001259
-0.2434909641  1.00002337 1.00001259
-0.2430589132  1.00009487 1.00001259
-0.2427224456  0.99997000 1.00001259
-0.2422904048  1.00028145 1.00001259
-0.2419539195  0.99988144 1.00001259
-0.2415218961  1.00006865 1.00001259
-0.2411853973  0.99996465 1.00001259
-0.2407533877  0.99987867 1.00001259
-0.2404168788  0.99992320 1.00001259
-0.2399848794  0.99989382 1.00001259
-0.2396483531  0.99980062 1.00001259
-0.2392163706  0.99996607 1.00001259
-0.2388798346  1.00005391 1.00001259
-0.2384478585  0.99969802 1.00001259
-0.2381113127  1.00006489 1.00001259
-0.2376793536  1.00038777 1.00001259
-0.2373427867  0.99984534 1.00001259
-0.2369108414  1.00006093 1.00001259
-0.2365742682  0.99989355 1.00001259
-0.2358057463  0.99984450 1.00001259
-0.2353738281  0.99988401 1.00001259
-0.2350372206  1.00000331 1.00001259
-0.2346053156  1.00021754 1.00001259
-0.2342687021  1.00011561 1.00001259
-0.2338368073  1.00013656 1.00001259
-0.2335001802  1.00016518 1.00001259
-0.2330683023  1.00004567 1.00001259
-0.2327316546  0.99991826 1.00001259
-0.2322997902  1.00043917 1.00001259
-0.2319631323  0.99948707 1.00001259
-0.2315312815  0.99977309 1.00001259
-0.2311946104  0.99996586 1.00001259
-0.2307627769  0.99967572 1.00001259
-0.2304260885  1.00010220 1.00001259
-0.2299942644  1.00013584 1.00001259
-0.2296575666  1.00031966 1.00001259
-0.2292257594  0.99986487 1.00001259
-0.2288890410  1.00014832 1.00001259
-0.2284572473  0.99999826 1.00001259
-0.2276887386  1.00003947 1.00001259
-0.2273520009  1.00005050 1.00001259
-0.2265834753  1.00011263 1.00001259
-0.2261517215  1.00028282 1.00001259
-0.2258149572  0.99988975 1.00001259
-0.2253832128  0.99976105 1.00001259
-0.2250464353  0.99995476 1.00001259
-0.2246147041  0.99995399 1.00001259
-0.2242779100  0.99998800 1.00001259
-0.2238461953  1.00000903 1.00001259
-0.2235093918  1.00019643 1.00001259
-0.2230776870  0.99993648 1.00001259
-0.2227408700  1.00028442 1.00001259
-0.2219723447  0.99993750 1.00001259
-0.2215406695  0.99971334 1.00001259
-0.2212038265  1.00003355 1.00001259
-0.2207721608  1.00015053 1.00001259
-0.2204353047  0.99993649 1.00001259
-0.2200036483  0.99994901 1.00001259
-0.2196667794  0.99991189 1.00001259
-0.2192351396  0.99987092 1.00001259
-0.2188982612  0.99991159 1.00001259
-0.2184666350  1.00000361 1.00001259
-0.2181297397  1.00022049 1.00001259
-0.2173612145  0.99989893 1.00001259
-0.2169296138  0.99967674 1.00001259
-0.2165926963  1.00020161 1.00001259
-0.2161611088  1.00014539 1.00001259
-0.2158241748  1.00008761 1.00001259
-0.2153925963  1.00022278 1.00001259
-0.2150556495  0.99998409 1.00001259
-0.2146240876  1.00013521 1.00001259
-0.2142871280  1.00038105 1.00001259
-0.2138555826  1.00006011 1.00001259
-0.2135186099  0.99996300 1.00001259
-0.2130870701  1.00002082 1.00001259
-0.2127500846  0.99976638 1.00001259
-0.2123185614  0.99988722 1.00001259
-0.2119815668  0.99985036 1.00001259
-0.2115500489  0.99972027 1.00001259
-0.2112130453  1.00006780 1.00001259
-0.2107815440  0.99970889 1.00001259
-0.2104445201  0.99989169 1.00001259
-0.2100130348  1.00013109 1.00001259
-0.2092445224  1.00018799 1.00001259
-0.2089074812  1.00000010 1.00001259
-0.2084760174  1.00002538 1.00001259
-0.2081389559  1.00000124 1.00001259
-0.2077075087  0.99982824 1.00001259
-0.2073704381  1.00000016 1.00001259
-0.2069389962  1.00014721 1.00001259
-0.2066019166  0.99976245 1.00001259
-0.2061704912  0.99988713 1.00001259
-0.2058333913  1.00035042 1.00001259
-0.2054019821  0.99983600 1.00001259
-0.2050648740  0.99984467 1.00001259
-0.2046334696  1.00001571 1.00001259
-0.2042963524  1.00041008 1.00001259
-0.2038649646  1.00012841 1.00001259
-0.2035278275  1.00012387 1.00001259
-0.2030964522  1.00001439 1.00001259
-0.2027593098  0.99971328 1.00001259
-0.2023279468  0.99985913 1.00001259
