-0.2497361330 0.0002874172 7813.0658479469 0.0000393843
-0.2495021735 0.0002874534 7815.0352600503 0.0000402652
-0.2494674101 0.0002874969 7817.4017933363 0.0000413238
-0.2492093122 0.0002875867 7822.2872023754 0.0000435091
-0.2489397851 0.0002876322 7824.7620565015 0.0000446162
-0.2486869093 0.0002876343 7824.8752192952 0.0000446668
-0.2484147803 0.0002876575 7826.1351611137 0.0000452304
-0.2481476089 0.0002876092 7823.5063513710 0.0000440545
-0.2478828004 0.0002873668 7810.3276802718 0.0000381594
-0.2476488092 0.0002872238 7802.5553578172 0.0000346827
-0.2476140775 0.0002870295 7792.0032013506 0.0000299625
-0.2473559842 0.0002867469 7776.6669203456 0.0000231023
-0.2470864634 0.0002865755 7767.3739160546 0.0000189454
-0.2468335676 0.0002863390 7754.5564912489 0.0000132119
-0.2465614441 0.0002861696 7745.3875574721 0.0000091105
-0.2457607268 0.0002860662 7739.7879134944 0.0000066056
-0.2455026643 0.0002860433 7738.5504959534 0.0000060521
-0.2452331335 0.0002860890 7741.0247826867 0.0000071589
-0.2447081161 0.0002860727 7740.1385327538 0.0000067625
-0.2439420524 0.0002861253 7742.9865620211 0.0000080365
-0.2439073851 0.0002862426 7749.3379698760 0.0000108776
-0.2436493544 0.0002862938 7752.1075175668 0.0000121164
-0.2433798209 0.0002863368 7754.4406878050 0.0000131601
-0.2431268680 0.0002863784 7756.6917408601 0.0000141670
-0.2428547980 0.0002864794 7762.1666456311 0.0000166161
-0.2423228035 0.0002864921 7762.8533223750 0.0000169232
-0.2420886790 0.0002865573 7766.3872020221 0.0000185040
-0.2420540435 0.0002866737 7772.6956896641 0.0000213259
-0.2415265001 0.0002866733 7772.6768030030 0.0000213175
-0.2412735182 0.0002868018 7779.6426995866 0.0000244334
-0.2404694800 0.0002867116 7774.7513048597 0.0000222454
-0.2402353056 0.0002868668 7783.1697509705 0.0000260112
-0.2402007009 0.0002869772 7789.1615747138 0.0000286914
-0.2399427074 0.0002871953 7801.0070517914 0.0000339901
-0.2396731693 0.0002875345 7819.4472187294 0.0000422388
-0.2394201593 0.0002878365 7835.8819328045 0.0000495903
-0.2391481337 0.0002882349 7857.5866711829 0.0000592993
-0.2388810158 0.0002886160 7878.3800345270 0.0000686005
-0.2386161383 0.0002889336 7895.7296320215 0.0000763613
-0.2383819322 0.0002890976 7904.6907123418 0.0000803698
-0.2383473593 0.0002893755 7919.8968257307 0.0000871718
-0.2380893974 0.0002897181 7938.6617408524 0.0000955657
-0.2378198576 0.0002897937 7942.8032682511 0.0000974183
-0.2375668094 0.0002898286 7944.7175624139 0.0000982746
-0.2372948066 0.0002898638 7946.6466303237 0.0000991375
-0.2370276995 0.0002896744 7936.2675567104 0.0000944947
-0.2367628067 0.0002893539 7918.7172015826 0.0000866441
-0.2365285588 0.0002889808 7898.3055530493 0.0000775136
-0.2364940176 0.0002885719 7875.9684817110 0.0000675218
-0.2362360694 0.0002880992 7850.1877672190 0.0000559896
