    0.453209034136596689E+00    0.994532868205438447E+01   -0.493363711980524311E+00    0.745483628512088643E+02    0.732572729834314429E+00   -0.495343855571945468E+02
    0.507665104711154114E+00    0.845022912296294670E+01    0.210268256909813545E-01    0.754800841892330965E+02    0.242228327842084312E+00   -0.487668394108499115E+02
    0.461711612545288475E+00    0.898280754941225013E+01   -0.166260419967237283E+00    0.750679921202609961E+02    0.244654215394155106E+00   -0.481850953878399793E+02
    0.476917724512027741E+00    0.100018271524663209E+02   -0.302992318369446068E-01    0.756739532442001064E+02    0.365589114982090679E+00   -0.474375708648901906E+02
    0.492976764475173523E+00    0.842472234510936602E+01   -0.101643160874372196E+00    0.759759714017099839E+02    0.354462317831054752E+00   -0.468713622700862231E+02
    0.469031441780323521E+00    0.910941490840109047E+01   -0.313223523497992318E+00    0.759610990486168731E+02    0.481109624609883435E+00   -0.466555068796322416E+02
    0.479290347438815767E+00    0.842028358102274410E+01   -0.360089518861856916E+00    0.749492560476273439E+02    0.558134955806178445E+00   -0.466204480789235234E+02
    0.466921919689305021E+00    0.892119408534809466E+01   -0.426921153684994614E+00    0.752327346395108947E+02    0.514718074010511062E+00   -0.463666123119384963E+02
    0.463294532245797142E+00    0.100482142856739589E+02   -0.306793934733069040E+00    0.757076286474519407E+02    0.647311498161893484E+00   -0.459454858304129914E+02
    0.360189140704517297E+00    0.758363997674329759E+01   -0.456896406930801025E+00    0.758677894206974059E+02    0.259909470202643933E+00   -0.458803213361401134E+02
    0.467345417986149037E+00    0.911386036074940620E+01   -0.372388498397913992E+00    0.756635022973584626E+02    0.519829854473545683E+00   -0.458786250419677941E+02
    0.447516650053446374E+00    0.101271066884389072E+02   -0.694552740642261579E+00    0.753958096073717172E+02    0.733608442566734298E+00   -0.457233364346310651E+02
    0.460466961780849504E+00    0.953934516396616772E+01   -0.610283446451741263E+00    0.749320801666669922E+02    0.798974490177102314E+00   -0.454097455029727755E+02
    0.470096970690654148E+00    0.987955768626590292E+01   -0.163495490316993397E+00    0.761421333748379823E+02    0.434923846533533776E+00   -0.450813601749552220E+02
    0.462656669469094395E+00    0.857803871519291050E+01   -0.223488049203322436E+00    0.750994795180567962E+02    0.415225235415237148E+00   -0.449494559022448499E+02
    0.451903628800606916E+00    0.944571280312380068E+01   -0.108050013161231195E+00    0.750815384058618065E+02    0.257555733233416517E+00   -0.448905376621514591E+02
    0.329094108095391025E+00    0.752877296489484493E+01   -0.235438773906617271E+00    0.756233750188872165E+02    0.217361720643174904E-01   -0.447896186172796433E+02
    0.412036757058943270E+00    0.778089197167669155E+01   -0.290787855803021245E+00    0.752236351593242887E+02    0.231279430446918177E+00   -0.447683225918556005E+02
    0.491828096559315531E+00    0.856501953965932294E+01    0.186390761232928526E-01    0.756260391742034415E+02    0.107669955457468769E+00   -0.446788710830225995E+02
    0.283007551823348302E+00    0.737008466379985627E+01   -0.416651891898201399E+00    0.753494836052187793E+02    0.152698619818868342E+00   -0.446434690160867547E+02
    0.481095335228026832E+00    0.891712165405642843E+01   -0.256292835368507887E-01    0.754864882221737901E+02    0.291857318408627053E+00   -0.446140744792378001E+02
    0.450434538335359125E+00    0.100141504112835236E+02   -0.387413475546782848E+00    0.750269335143121197E+02    0.533558873164081682E+00   -0.445648755920992414E+02
    0.458430187950985280E+00    0.967295578743138762E+01   -0.930571242269517818E-01    0.756326290292933123E+02    0.285882434796603246E+00   -0.445578791351813734E+02
    0.304822323126762162E+00    0.746492373472050197E+01   -0.380186803020204245E+00    0.749910538029909901E+02    0.133496779187505868E-01   -0.444797052180235966E+02
