Title: Forecasting the detectability of known radial velocity planets with the upcoming CHEOPS mission
Authors: Joo Sung Yi, Jingjing Chen & David Kipping 
Table: Final predicted properties for 468 RV planets using forecaster
================================================================================

--------------------------------------------------------------------------------
  Column    Units     Explanations
--------------------------------------------------------------------------------
  1         ---       Planet name
  2         ---       Planetary mass [Earth masses]
  3         ---       Planetary mass ±34.1% uncertainty [Earth masses]
  4         ---       Planetary radius  2.2% quantile [Earth radii]
  5         ---       Planetary radius 15.9% quantile [Earth radii]
  6         ---       Planetary radius 50.0% quantile [Earth radii]
  7         ---       Planetary radius 84.1% quantile [Earth radii]
  8         ---       Planetary radius 97.7% quantile [Earth radii]
  9         ---       Stellar radius [Solar radii]
  10         ---      Stellar radius -34.1% uncertainty [Solar radii]
  11         ---      Stellar radius +34.1% uncertainty [Solar radii]
  12        ---       Transit depth  2.2% quantile [parts per thousand]
  13        ---       Transit depth 15.9% quantile [parts per thousand]
  14        ---       Transit depth 50.0% quantile [parts per thousand]
  15        ---       Transit depth 84.1% quantile [parts per thousand]
  16        ---       Transit depth 97.7% quantile [parts per thousand]
  17        ---       V-band apparent magnitude
  18        ---       CHEOPS r.m.s. photometric noise [parts per million/hour]
  19        ---       CHEOPS signal-to-noise ratio per hour 2.2% quantile
  20        ---       CHEOPS signal-to-noise ratio per hour 15.9% quantile
  21        ---       CHEOPS signal-to-noise ratio per hour 50.0% quantile
  22        ---       CHEOPS signal-to-noise ratio per hour 84.1% quantile
  23        ---       CHEOPS signal-to-noise ratio per hour 97.7% quantile
  24        ---       Maximum transit duration [hours]
  25        ---       Maximum transit duration -34.1% uncertainty [hours]
  26        ---       Maximum transit duration +34.1% uncertainty [hours]
  27        ---       Geometric transit probability [%]
  28        ---       Planet flag
--------------------------------------------------------------------------------
Note (1): The flag value at the end of each row denotes the following cases:
          0 = No remarks
          1 = No stellar radii was reported on EOD and the EOD reported maximum
              a-posteriori stellar mass was below 0.87 Solar masses enabling a
              forecaster stellar radius prediction. Forecaster prediction used
              the reported stellar mass uncertainty assuming a Gaussian.
          2 = No stellar radii was reported on EOD and the EOD reported maximum
              a-posteriori stellar mass was below 0.87 Solar masses enabling a
              forecaster stellar radius prediction. Forecaster prediction could
              not use the reported stellar mass uncertainty, since none existed,
              and thus we assumed a Gaussian of width equal to 5.0% of the best
              reported stellar mass.
          3 = Object has an EOD reported maximum a-posteriori stellar radius but
              no associated uncertainty. Uncertainty was therefore assumed to be
              equal to 3.5% of the maximum a-posteriori value and Gaussian.
--------------------------------------------------------------------------------
alpha_Cen_B_b	1.1271016526062068	0.09605244320578486	0.815419085853527	0.9347957721756802	1.042381964104152	1.1637235288392387	1.3430441260855739	0.91	0.03	0.03	0.06626649735207235	0.08764276798506082	0.11015663583796273	0.13903732231393895	0.18691727812330625	1.33	39.024868853679145	1.6980581690238004	2.245818386057129	2.8227291743371867	3.5627876889285415	4.789696509273067	2.4203061243171744	0.0831243214680768	0.08321574193950765	10.0892	0
GJ_581_e	1.9496650718087774	0.22477643406648587	0.7453362496913825	1.0437108839929008	1.2313177001127542	1.4985182736736213	2.2433184349992614	0.299	0.01	0.01	0.5191141407584259	1.0145052693130483	1.4240050861756135	2.1294025531528766	4.74899218715891	10.57	61.24766752739897	8.475655673356078	16.563982111795724	23.24994801701778	34.767079941457276	77.53751904159392	1.1926258414277453	0.04861025782428863	0.049817610856453864	3.9903	0
HD_20794_c	2.3633383514110675	0.42931621321683233	0.7499490751263351	1.0613148538069335	1.3182896921487924	1.8086907992277739	2.68895817737386	1.22683	0.0452052	0.0452052	0.03119477902843081	0.062152564408273575	0.09715671483019162	0.1831152124049508	0.40642184040497464	4.26	40.845483336019846	0.7637265244679208	1.5216508492987755	2.3786403512702066	4.483120224053501	9.950227227365652	8.244148181345174	0.3431802298866131	0.3507751894173676	2.7955	0
HD_20794_b	2.697242839710756	0.3059798495530782	0.7607123872868287	1.0899307537731076	1.422012580189281	1.9875142307404345	2.8843911561507807	1.22683	0.0452052	0.0452052	0.031927396056787044	0.06585521405061533	0.11316380075383423	0.22123002284606066	0.4688727466098802	4.26	40.845483336019846	0.7816628290117862	1.612301010343058	2.7705340104040346	5.416266494537172	11.479182233018205	6.347216327873962	0.263891702881887	0.2716891397498671	4.7147	0
HD_85512_b	3.62161563221854	0.44256280958119915	0.8462294273328803	1.2215602413042341	1.6988736830066482	2.4206287675198026	3.4585480174046768	0.881928	0.0806383	0.0806383	0.07478103919193352	0.15840251775686423	0.3151614537340434	0.6524717023065664	1.3686326554609578	7.67	35.510949881076726	2.105858599738084	4.460666872819266	8.875049943453877	18.373817216707547	38.54114463410291	6.416398156275678	0.656734752278175	0.6580202474311614	1.5968	0
HD_40307_b	4.102090785377121	0.26676096188611026	0.9154130112373509	1.3139398698936957	1.8429573348188364	2.6088694984074463	3.7308257319948783	0.839223	0.0516617	0.0516617	0.0983950221360625	0.20354634494597404	0.40728744495955227	0.822648797037456	1.698953794593538	7.17	37.389532385792904	2.63161948966899	5.4439393048765865	10.893087422358656	22.00211515215532	45.4392897205395	2.5728229917791317	0.1720822375920199	0.171704510028178	8.3041	0
HD_156668_b	4.150112875364066	0.5874363337350608	0.9057712233467287	1.3054572474792196	1.843176523819328	2.6351279735512074	3.795985066591795	0.728691	0.0433208	0.0433208	0.12817839629389752	0.26752331540996444	0.5394048528876428	1.1098661708016058	2.325691829956609	8.424	38.25597127789548	3.3505461242323684	6.992981918212097	14.099886497962583	29.011579989419655	60.79291029007038	2.2641821408773177	0.1431038809181171	0.14486827530263957	6.7643	0
GJ_667_C_c	4.153449949784072	0.6810937109571156	0.9026638026968073	1.3028171242740461	1.8440347144620549	2.6381622683141326	3.8075670681963047	0.359	0.038	0.042	0.49204301966685143	1.0602731264099226	2.202320877406196	4.660089562659975	9.99894991694442	10.22	52.47710588535251	9.376336811367322	20.20448933914756	41.967270112373164	88.80233549542423	190.5392789531738	2.673985552234715	0.32556011053079237	0.34373465531008707	N/A	2
HD_20794_d	4.701524696193633	0.5749016465802952	0.9745956778773905	1.4034719139295255	1.9946992309395589	2.833380252450806	4.05519655050075	1.22683	0.0452052	0.0452052	0.05263137208603973	0.10953803216875006	0.22260227755490092	0.44957709210202695	0.9249826232833119	4.26	40.845483336019846	1.2885481523884041	2.681766090699024	5.4498627357066365	11.006776156950616	22.64589736088666	10.799266122079432	0.45392310244283784	0.45650691901480656	1.6274	0
61_Vir_b	5.108902028723511	0.5838640750225972	1.0258579933045147	1.4820993893693311	2.0967826059223693	2.9755611889095315	4.256675699371529	0.978547	0.0342491	0.0342491	0.09207262249330005	0.1916890845149947	0.385436546880245	0.7800880108080217	1.5981256526948797	4.866	41.83440478976875	2.2008828129859714	4.582091832746124	9.21338665668095	18.647044573197906	38.20122840819588	2.8446068308218617	0.10905019465640775	0.10918059028279181	N/A	3
GJ_832_c	5.323110424826755	0.9052020945063775	1.028831767047393	1.494956677070755	2.133715526251639	3.0528611428592556	4.363090344381004	0.471	0.064	0.071	0.3601238029363373	0.7934901901526552	1.7135417755319364	3.7173143978620504	8.040615869933173	8.672	36.416701224389755	9.888973762817034	21.789183629329457	47.05373408133704	102.0771863699838	220.7947342728573	3.2366166076555842	0.5395893063861683	0.5693331135791713	N/A	1
GJ_581_c	5.3315643466907705	0.3796923275082856	1.0669699618106467	1.5246346297757598	2.1564872289201251	3.0459454761194995	4.3373280502629035	0.299	0.01	0.01	1.0661424098226433	2.1749126508737673	4.365884189389153	8.72499749919557	17.819345684289	10.57	61.24766752739897	17.407069572824266	35.51013024129983	71.28245638800999	142.45436359339672	290.93917211324936	1.8129440309413491	0.07408419272038458	0.07643755240170269	1.8022	0
GJ_15_A_b	5.3393190720096415	0.7627598674299487	1.0444856910266527	1.5060760863954321	2.149384865377995	3.0542971069055076	4.373240106603415	0.3863	0.0021	0.0021	0.6129734058547741	1.2758785384476006	2.5975797423835862	5.249714134310187	10.754146528049793	8.08	34.54781328100267	17.74275555066286	36.930804507652795	75.18796403279038	151.9550337849292	311.2829874521563	2.0891058526625907	0.10083851604522076	0.12529217009956284	2.501	0
GJ_667_C_b	5.56023339861404	0.34274932459576174	1.0961067963562441	1.5675869387531995	2.2078716910842844	3.1179020293987292	4.445870387174078	0.359	0.038	0.042	0.7333519320655427	1.5375119190572526	3.155091167232323	6.552409246591685	13.730518026584571	10.22	52.47710588535251	13.974702295277247	29.298717852624666	60.12319303822312	124.86224489793373	261.6477756334702	1.6499503467102148	0.2058721916995876	0.21253637083495702	N/A	2
GJ_433_b	5.783817384754443	0.4706609761976498	1.1178507172637333	1.5974212375485015	2.2573110729185735	3.1932384748262281	4.562509425532582	0.5	0.053	0.059	0.3894246555339241	0.8242063455583903	1.6975194813464185	3.535988743931859	7.421171204300841	9.813	45.56083684791791	8.547355195292477	18.090237198881827	37.25830337604946	77.61026768966055	162.88487476805383	2.0308832625428543	0.24995162829292283	0.2622843317503003	N/A	2
